Temperature,L,R,A_M,Color,Spectral_Class,Type
0.18360001050944538,0.0024,0.17,16.12,Red,M,0.0
0.0356270197840309,0.0005,0.1542,16.6,Red,M,0.0
0.01736685846404456,0.0003,0.102,18.7,Red,M,0.0
0.022621581146055024,0.0002,0.16,16.65,Red,M,0.0
0.0,0.000138,0.103,20.06,Red,M,0.0
0.02367252568245711,0.00065,0.11,16.98,Red,M,0.0
0.2995454664880061,0.00073,0.127,17.22,Red,M,0.0
0.01736685846404456,0.0004,0.096,17.4,Red,M,0.0
0.018680539134547182,0.00069,0.11,17.45,Red,M,0.0
0.01999421980504979,0.00018,0.13,16.05,Red,M,0.0
0.043640471874096844,0.0029,0.51,10.69,Red,M,0.2
0.03126559995796222,0.0122,0.3761,11.79,Red,M,0.2
0.03139696802501248,0.0004,0.196,13.21,Red,M,0.2
0.04437613304957832,0.0055,0.393,10.48,Red,M,0.2
0.018680539134547182,0.0006,0.14,11.782,Red,M,0.2
0.03680933238748326,0.0038,0.24,13.07,Red,M,0.2
0.022595307532644972,0.0018,0.16,14.79,Red,M,0.2
0.04605764430782166,0.00367,0.47,10.8,Red,M,0.2
0.03292083760279552,0.00362,0.1967,13.53,Red,M,0.2
0.03946296734189853,0.039,0.351,11.18,Red,M,0.2
0.03171225138593311,0.056,0.0084,10.58,white,B,0.4
0.1524132313917133,0.00049,0.01234,14.02,white,A,0.4
0.13875095241848615,0.00017,0.011,14.23,white,F,0.4
0.028086492735345893,0.0005,0.01,14.5,Blue,A,0.4
0.3825700848637713,0.013,0.014,11.89,Blue-white,B,0.4
0.29034970179448777,8.5e-05,0.00984,12.23,yellow-white,F,0.4
0.03586348230472137,0.00081,0.0097,14.2,Red,A,0.4
0.26696618585954124,0.00011,0.0128,14.47,Red,F,0.4
0.25882136570242503,0.00015,0.011,12.59,yellow-white,F,0.4
0.02495993273954967,8e-05,0.013,14.08,Blue,F,0.4
0.9737263865899478,204000.0,10.6,-4.7,Blue,O,0.6000000000000001
0.5649089619295342,28840.0,6.3,-4.2,Red,B,0.6000000000000001
0.3504111820498673,1136.0,7.2,-1.97,Blue-white,B,0.6000000000000001
0.2039095136754158,74.0,2.89,0.16,white,B,0.6000000000000001
0.1014424213762119,0.81,0.9,5.05,yellow-white,F,0.6000000000000001
0.16061059877564965,8.7,1.8,2.42,white,A,0.6000000000000001
0.1265862694096319,1.43,1.12,2.41,yellow-white,F,0.6000000000000001
0.11668111715404222,1.35,0.98,2.93,yellow-white,F,0.6000000000000001
0.105015632799979,1.357,1.106,4.46,yellow-white,F,0.6000000000000001
0.09584614171987074,0.819,0.99,5.03,yellow-white,F,0.6000000000000001
0.049578308504768666,200000.0,19.0,-6.93,Red,M,0.8
0.037466172722734566,340000.0,23.0,-6.2,Red,M,0.8
0.034970179448779594,150000.0,88.0,-6.02,Red,M,0.8
0.42198050497884976,195000.0,17.0,-7.22,Red,M,0.8
0.028086492735345893,280000.0,25.0,-6.0,Red,M,0.8
0.19392554057959593,320000.0,29.0,-6.6,Red,M,0.8
0.04298363153884554,123000.0,45.0,-6.78,Red,M,0.8
0.04295735792543549,200000.0,89.0,-5.24,Red,M,0.8
0.04429731220934816,184000.0,84.0,-6.74,Red,M,0.8
0.8357899161871732,220000.0,26.0,-6.1,Blue,B,0.8
0.0407503743989911,270000.0,1520.0,-9.4,Red,M,1.0
0.0475815138856047,283000.0,1260.0,-7.63,Red,M,1.0
0.04978849741204908,272000.0,1183.0,-9.2,Red,M,1.0
0.04755524027219465,550000.0,1648.0,-8.05,Orange,M,1.0
0.04495415254459947,310000.0,1324.0,-7.79,Red,M,1.0
0.39938519744620476,263000.0,1349.0,-11.75,Red,M,1.0
0.5273902419799795,363000.0,1673.0,-11.92,Blue-white,M,1.0
0.039699429862589,174000.0,1284.0,-11.28,Red,M,1.0
0.047634061112424804,209000.0,955.0,-11.24,Red,M,1.0
0.04193268700244345,195000.0,1546.0,-11.36,Red,M,1.0
0.03683560600089331,0.0056,0.057,16.23,Red,M,0.0
0.03922650482120806,0.00067,0.19,16.94,Red,M,0.0
0.027429652400094588,0.00024,0.094,16.09,Red,M,0.0
0.02354115761540685,0.00034,0.0918,16.96,Red,M,0.0
0.026168518956412083,0.00014,0.116,18.89,Red,M,0.0
0.0356270197840309,0.00098,0.132,17.13,Red,M,0.0
0.026431255090512605,0.00032,0.093,18.34,Red,M,0.0
0.2375397388402827,0.00098,0.0911,16.45,Red,M,0.0
0.021938467197393667,0.00036,0.118,17.39,Red,M,0.0
