Temperature,L,R,A_M,Color,Spectral_Class,Type
7220.0,0.0024,0.17,16.12,,M,0
9383.0,0.0005,0.1542,16.6,,M,0
2600.0,0.0003,0.102,18.7,Red,M,0
2800.0,0.0002,0.16,16.65,Red,M,0
1939.0,0.000138,0.103,20.06,Red,M,0
2840.0,0.00065,0.11,16.98,Red,M,0
13089.0,0.00073,0.127,17.22,,M,0
2600.0,0.0004,0.096,17.4,Red,M,0
2650.0,0.00069,0.11,17.45,Red,M,0
2700.0,0.00018,0.13,16.05,Red,M,0
3600.0,0.0029,0.51,10.69,Red,M,1
3129.0,0.0122,0.3761,11.79,Red,M,1
3134.0,0.0004,0.196,13.21,Red,M,1
3628.0,0.0055,0.393,10.48,Red,M,1
2650.0,0.0006,0.14,11.782,Red,M,1
3340.0,0.0038,0.24,13.07,Red,M,1
2799.0,0.0018,0.16,14.79,Red,M,1
3692.0,0.00367,0.47,10.8,Red,M,1
3192.0,0.00362,0.1967,13.53,Red,M,1
3441.0,0.039,0.351,11.18,Red,M,1
3610.0,0.056,0.0084,10.58,,B,2
7740.0,0.00049,0.01234,14.02,white,A,2
7220.0,0.00017,0.011,14.23,white,F,2
2889.0,0.0005,0.01,14.5,,A,2
16500.0,0.013,0.014,11.89,Blue-white,B,2
12990.0,8.5e-05,0.00984,12.23,yellow-white,F,2
3523.0,0.00081,0.0097,14.2,,A,2
37800.0,0.00011,0.0128,14.47,,F,2
11790.0,0.00015,0.011,12.59,yellow-white,F,2
2835.0,8e-05,0.013,14.08,,F,2
39000.0,204000.0,10.6,-4.7,Blue,O,3
3295.0,28840.0,6.3,-4.2,,B,3
15276.0,1136.0,7.2,-1.97,Blue-white,B,3
9700.0,74.0,2.89,0.16,white,B,3
5800.0,0.81,0.9,5.05,yellow-white,F,3
8052.0,8.7,1.8,2.42,white,A,3
6757.0,1.43,1.12,2.41,yellow-white,F,3
6380.0,1.35,0.98,2.93,yellow-white,F,3
5936.0,1.357,1.106,4.46,yellow-white,F,3
