Temperature,L,R,A_M,Color,Spectral_Class,Type
0.1836000105094453,0.0024,0.17,16.12,3,5,0.0
0.0356270197840309,0.0005,0.1542,16.6,3,5,0.0
0.0173668584640445,0.0003,0.102,18.7,3,5,0.0
0.022621581146055,0.0002,0.16,16.65,3,5,0.0
0.0,0.000138,0.103,20.06,3,5,0.0
0.0236725256824571,0.00065,0.11,16.98,3,5,0.0
0.2995454664880061,0.00073,0.127,17.22,3,5,0.0
0.0173668584640445,0.0004,0.096,17.4,3,5,0.0
0.0186805391345471,0.00069,0.11,17.45,3,5,0.0
0.0199942198050497,0.00018,0.13,16.05,3,5,0.0
0.0436404718740968,0.0029,0.51,10.69,3,5,0.2
0.0312655999579622,0.0122,0.3761,11.79,3,5,0.2
0.0313969680250124,0.0004,0.196,13.21,3,5,0.2
0.0443761330495783,0.0055,0.393,10.48,3,5,0.2
0.0186805391345471,0.0006,0.14,11.782,3,5,0.2
0.0368093323874832,0.0038,0.24,13.07,3,5,0.2
0.0225953075326449,0.0018,0.16,14.79,3,5,0.2
0.0460576443078216,0.00367,0.47,10.8,3,5,0.2
0.0329208376027955,0.00362,0.1967,13.53,3,5,0.2
0.0394629673418985,0.039,0.351,11.18,3,5,0.2
0.0317122513859331,0.056,0.0084,10.58,4,1,0.4
0.1524132313917133,0.00049,0.01234,14.02,4,0,0.4
0.1387509524184861,0.00017,0.011,14.23,4,2,0.4
0.0280864927353458,0.0005,0.01,14.5,0,0,0.4
0.3825700848637713,0.013,0.014,11.89,1,1,0.4
0.2903497017944877,8.5e-05,0.00984,12.23,5,2,0.4
0.0358634823047213,0.00081,0.0097,14.2,3,0,0.4
0.2669661858595412,0.00011,0.0128,14.47,3,2,0.4
0.258821365702425,0.00015,0.011,12.59,5,2,0.4
0.0249599327395496,8e-05,0.013,14.08,0,2,0.4
0.9737263865899478,204000.0,10.6,-4.7,0,6,0.6000000000000001
0.5649089619295342,28840.0,6.3,-4.2,3,1,0.6000000000000001
0.3504111820498673,1136.0,7.2,-1.97,1,1,0.6000000000000001
0.2039095136754158,74.0,2.89,0.16,4,1,0.6000000000000001
0.1014424213762119,0.81,0.9,5.05,5,2,0.6000000000000001
0.1606105987756496,8.7,1.8,2.42,4,0,0.6000000000000001
0.1265862694096319,1.43,1.12,2.41,5,2,0.6000000000000001
0.1166811171540422,1.35,0.98,2.93,5,2,0.6000000000000001
0.105015632799979,1.357,1.106,4.46,5,2,0.6000000000000001
0.0958461417198707,0.819,0.99,5.03,5,2,0.6000000000000001
0.0495783085047686,200000.0,19.0,-6.93,3,5,0.8
0.0374661727227345,340000.0,23.0,-6.2,3,5,0.8
0.0349701794487795,150000.0,88.0,-6.02,3,5,0.8
0.4219805049788497,195000.0,17.0,-7.22,3,5,0.8
0.0280864927353458,280000.0,25.0,-6.0,3,5,0.8
0.1939255405795959,320000.0,29.0,-6.6,3,5,0.8
0.0429836315388455,123000.0,45.0,-6.78,3,5,0.8
0.0429573579254354,200000.0,89.0,-5.24,3,5,0.8
0.0442973122093481,184000.0,84.0,-6.74,3,5,0.8
0.8357899161871732,220000.0,26.0,-6.1,0,1,0.8
0.0407503743989911,270000.0,1520.0,-9.4,3,5,1.0
0.0475815138856047,283000.0,1260.0,-7.63,3,5,1.0
0.049788497412049,272000.0,1183.0,-9.2,3,5,1.0
0.0475552402721946,550000.0,1648.0,-8.05,2,5,1.0
0.0449541525445994,310000.0,1324.0,-7.79,3,5,1.0
0.3993851974462047,263000.0,1349.0,-11.75,3,5,1.0
0.5273902419799795,363000.0,1673.0,-11.92,1,5,1.0
0.039699429862589,174000.0,1284.0,-11.28,3,5,1.0
0.0476340611124248,209000.0,955.0,-11.24,3,5,1.0
0.0419326870024434,195000.0,1546.0,-11.36,3,5,1.0
0.0368356060008933,0.0056,0.057,16.23,3,5,0.0
0.039226504821208,0.00067,0.19,16.94,3,5,0.0
0.0274296524000945,0.00024,0.094,16.09,3,5,0.0
0.0235411576154068,0.00034,0.0918,16.96,3,5,0.0
0.026168518956412,0.00014,0.116,18.89,3,5,0.0
0.0356270197840309,0.00098,0.132,17.13,3,5,0.0
0.0264312550905126,0.00032,0.093,18.34,3,5,0.0
0.2375397388402827,0.00098,0.0911,16.45,3,5,0.0
0.0219384671973936,0.00036,0.118,17.39,3,5,0.0
0.0405927327185307,0.00072,0.12,19.43,1,5,0.0
0.0369407004545335,0.021,0.273,12.3,3,5,0.2
0.0438243871679672,0.022,0.38,10.12,3,5,0.2
0.0358634823047213,0.0085,0.18,13.2,3,5,0.2
0.0318173458395733,0.0088,0.35,11.94,3,5,0.2
0.0423267912035942,0.004,0.291,10.89,3,5,0.2
0.0326055542418749,0.001,0.35,11.76,3,5,0.2
0.0249862063529597,0.0034,0.24,13.46,3,5,0.2
0.0368618796143033,0.0015,0.307,11.87,3,5,0.2
0.0179186043456556,0.0006,0.098,12.81,3,5,0.2
