Year,Month,Week year,Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac
2023,1,1,0.4775,0.41,0.435,0.4275,0.4371,0.4088,1.4326,1.7275,1.4,1.38,1.35,2.4625,2.1151,,
2023,1,2,0.4725,0.4025,0.435,0.42625,0.443,0.3575,1.4074,1.6775,1.36,1.3025,1.335,2.4936,2.1145,,
2023,1,3,0.4675,0.3725,0.415,0.425,0.4453,0.33,1.3974,1.6775,1.33,1.285,1.3,2.4732,2.1274,,
2023,1,4,0.445,0.36,0.405,0.41125,0.4259,0.3245,1.3981,1.625,1.28,1.23,1.25,2.4773,2.1269,,
2023,1,5,0.44,0.36,0.385,0.395,0.4001,0.362,1.2786,1.575,1.215,1.22,1.225,2.4085,2.0891,,
2023,2,6,0.41,0.3725,0.38,0.3825,0.4137,0.425,1.3102,1.5,1.22,1.22,1.21,2.3817,2.0623,,
2023,2,7,0.405,0.3825,0.4025,0.395,0.3988,0.439,1.2415,1.4725,1.265,1.2225,1.19,2.4101,2.0042,,
2023,2,8,0.405,0.405,0.41875,0.38875,0.3985,0.4594,1.248,1.455,1.25125,1.225,1.18,2.4369,1.9531,,
2023,2,9,0.39,0.415,0.43,0.41625,0.4028,0.45,1.2297,1.4,1.245,1.22,1.16,2.4364,1.9285,,
2023,3,10,0.3725,0.42,0.43,0.42625,0.4086,0.441,1.2016,1.39,1.225,1.21,1.155,2.4419,1.9424,,
2023,3,11,0.35,0.43,0.44,0.43125,0.4246,0.451,1.2146,1.3375,1.2075,1.205,1.11,2.4364,1.9559,,
2023,3,12,0.335,0.43,0.44,0.44125,0.4195,0.445,1.2249,1.315,1.165,1.19,1.1,2.4056,1.9411,,
2023,3,13,0.335,0.44,0.435,0.44125,0.4375,0.444,1.2204,1.3,1.155,1.165,1.1,2.4235,1.9255,,
2023,4,14,0.305,0.44,0.43,0.45125,0.4533,0.4188,1.1474,1.26,1.14,1.16,1.08,2.4238,1.9881,,
2023,4,15,0.285,0.44,0.415,0.44625,0.4606,0.3675,1.2009,1.215,1.135,1.16,1.075,2.4226,2.023,,
2023,4,15,0.28,0.4375,0.415,0.45125,0.4481,0.3655,1.1753,1.125,1.145,1.4525,1.02,2.3891,1.9707,,
2023,4,17,0.28,0.405,0.4125,0.44875,0.4613,0.3415,1.165,1.205,1.145,1.1525,1.02,2.3913,1.9082,,
2023,5,18,0.27,0.3975,0.4,0.43875,0.4263,0.3305,1.1219,1.155,1.155,1.1575,0.96,2.4047,1.8571,,
2023,5,19,0.255,0.3775,0.395,0.43625,0.411,0.309,1.1548,1.14,1.17,1.1575,0.98,2.4205,1.7912,,
2023,5,20,0.255,0.35,0.38,0.41625,0.3905,0.2845,1.1519,1.09,1.17,1.1575,0.965,2.4662,1.7524,,
2023,5,21,0.255,0.325,0.365,0.40625,0.3801,0.2685,1.1494,1.05,1.17,1.1575,1.0,2.4449,1.7098,,
2023,5,22,0.24,0.31,0.355,0.40375,0.3418,0.265,1.1502,1.0,1.17,1.16,0.945,2.4891,1.6538,,
2023,6,23,0.225,0.31,0.335,0.36875,0.3354,0.273,1.1549,0.9875,1.175,1.165,0.95,2.4819,1.6272,,
2023,6,24,0.225,0.3,0.335,0.36125,0.3186,0.276,1.1696,0.945,1.16,1.17,0.94,2.4954,1.5686,,
2023,6,25,0.225,0.2875,0.335,0.35625,0.3184,0.2669,1.1728,0.9275,1.155,1.165,0.935,2.434,1.5291,,
2023,6,26,0.21,0.27375,0.30125,0.31875,0.3109,0.2465,1.176,0.9,1.135,1.155,0.915,2.418,1.4964,,
2023,7,27,0.205,0.26,0.3,0.2925,0.2892,0.2344,1.1535,0.895,1.125,1.14,0.92,2.4248,1.4714,,
2023,7,28,0.195,0.2525,0.3,0.285,0.2765,0.234,1.1798,0.885,1.115,1.115,0.9,2.4591,1.4302,,
2023,7,28,0.1925,0.2425,0.27,0.2675,0.2616,0.2465,1.1674,0.87,1.1,1.11,0.87,2.4431,1.4124,,
2023,7,30,0.195,0.25,0.28,0.26375,0.2544,0.257,1.1478,0.86,1.11,1.12,0.87,2.5232,1.4491,,
2023,7,31,0.195,0.25,0.285,0.2675,0.2525,0.261,1.1276,0.83,1.1,1.1125,0.865,2.542,1.5391,,
2023,8,32,0.2,0.25,2.95,0.2675,0.2469,0.273,1.1407,0.83,1.115,1.1175,0.865,2.6351,1.7041,,
2023,8,33,0.21,0.2525,0.31,0.26125,0.263,0.2645,1.1357,0.82,1.0975,1.115,0.845,2.6328,1.8492,,
2023,8,34,0.21,0.2525,0.32,0.26375,0.2683,0.263,1.1395,0.81,1.095,1.11,0.835,2.6844,1.9374,,
2023,8,35,0.225,0.27,0.34,0.26375,0.2658,0.293,1.1365,0.805,1.075,1.105,0.885,2.693,1.9937,,
2023,9,36,0.23,0.28,0.33,0.28125,0.2761,0.3131,1.1066,0.81,1.085,1.095,0.885,2.6765,2.0094,,
2022,1,1,0.405,0.695,0.72625,0.67625,0.6564,0.7535,1.5856,1.385,1.64,1.645,1.445,2.1612,1.9168,,
2022,1,2,0.405,0.715,0.73625,0.69625,0.6723,0.7645,1.6078,1.41,1.66,1.7025,1.4825,2.3053,1.9263,,
2022,1,3,0.405,0.735,0.7475,0.715,0.7015,0.79,1.6319,1.445,1.72,1.77,1.515,2.564,1.9755,,
2022,1,4,0.405,0.745,0.765,0.735,0.7225,0.822,1.6655,1.4925,1.8,1.785,1.525,2.7248,2.0152,,
2022,1,5,0.405,0.775,0.79,0.75125,0.738,0.855,1.6813,1.53875,1.8,1.81,1.57,2.7941,1.9983,,
2022,2,6,0.405,0.7925,0.81,0.77625,0.7504,0.833,1.6944,1.5525,1.85,1.87,1.6,2.6661,1.9351,,
2022,2,7,0.405,0.80125,0.8,0.8025,0.7787,0.817,1.7225,1.61,1.865,1.895,1.72,2.6028,1.8786,,
2022,2,8,0.405,0.805,0.7925,0.81125,0.7942,0.795,1.7416,1.64,1.875,1.9175,1.73,2.6893,1.8845,,
2022,2,9,0.405,0.7825,0.7825,0.8,0.795,0.753,1.7673,1.69,1.875,1.915,1.73,2.7075,1.9397,,
2022,3,10,0.405,0.7825,0.77,0.8,0.8014,0.7575,1.7817,1.7,1.84,1.91,1.735,2.6887,1.9841,,
2022,3,11,0.415,0.775,0.76,0.795,0.7958,0.759,1.7987,1.7,1.83,1.91,1.8,2.7297,2.0328,,
2022,3,11,0.415,0.7425,0.74,0.79125,0.7895,0.746,1.7942,1.725,1.83625,1.91,1.735,2.7516,2.1119,,
2022,3,13,0.415,0.715,0.7275,0.77125,0.7938,0.6715,1.8075,1.7375,1.8325,1.905,1.785,2.7416,2.1594,,
2022,4,14,0.425,0.645,0.6625,0.755,0.7846,0.6135,1.8225,1.77875,1.835,1.905,1.81,2.7912,2.2034,,
2022,4,15,0.435,0.6425,0.645,0.7175,0.7684,0.635,1.8316,1.8,1.83,1.905,1.83,2.7445,2.2283,,
2022,4,16,0.435,0.6425,0.655,0.71375,0.7293,0.637,1.8294,1.8,1.83,1.905,1.83,2.7848,2.2744,,
2022,4,17,0.435,0.635,0.655,0.7075,0.7186,0.589,1.8421,1.8,1.8,1.87,1.845,2.7718,2.323,,
2022,5,18,0.435,0.63,0.62,0.685,0.6973,0.5895,1.8329,1.8125,1.765,1.81,1.9,2.7669,2.3592,,
2022,5,19,0.435,0.61,0.62,0.6775,0.6837,0.5615,1.834,1.8125,1.77,1.805,1.92,2.7244,2.3808,,
2022,5,20,0.4375,0.59,0.61,0.6575,0.6808,0.4985,1.8247,1.8125,1.735,1.7925,1.92,2.7033,2.3971,,
2022,5,21,0.4375,0.5775,0.59,0.645125,0.676,0.5025,1.8168,1.82625,1.775,1.83,1.935,2.7208,2.7208,,
2022,5,22,0.4375,0.575,0.59,0.63125,0.6375,0.5463,1.7805,1.81625,1.825,1.855,1.935,2.8195,2.3681,,
2022,6,23,0.44,0.575,0.5925,0.60875,0.6297,0.537,1.7904,1.825,1.8575,1.8725,1.93,2.8447,2.3655,,
2022,6,24,0.44,0.57,0.59,0.6075,0.6211,0.508,1.8197,1.825,1.8575,1.8725,1.935,2.9023,2.3421,,
2022,6,25,0.445,0.57,0.575,0.605,0.6145,0.4875,1.8204,1.8325,1.835,1.875,1.92,2.9791,2.3092,,
2022,6,26,0.455,0.5325,0.555,0.5975,0.5975,0.4905,1.8389,1.8325,1.81,1.845,1.92,2.9607,2.2738,,
2022,7,27,0.455,0.525,0.54,0.57625,0.5877,0.4925,1.8161,1.8325,1.79,1.825,1.886,2.9279,2.2227,,
2022,7,28,0.455,0.525,0.54,0.5625,0.5264,0.469,1.8423,1.8325,1.755,1.815,1.885,2.974,2.2034,,
2022,7,29,0.455,0.4975,0.51,0.56,0.5427,0.463,1.8269,1.8325,1.72,1.745,1.875,2.9674,2.1647,,
2022,7,30,0.455,0.485,0.51,0.515,0.5494,0.4515,1.7959,1.8275,1.685,1.715,1.8675,2.965,1.924,,
2022,8,31,0.455,0.455,0.51,0.515,0.539,0.432,1.7366,1.8275,1.65625,1.69,1.8675,2.9322,2.0879,,
2022,8,32,0.455,0.45,0.485,0.5,0.5348,0.442,1.7327,1.8075,1.585,1.625,1.855,2.9667,2.0369,,
2022,8,33,0.455,0.45,0.49,0.4925,0.4872,0.449,1.7047,1.8075,1.4875,1.555,1.9,3.0253,1.9629,,
2022,8,34,0.455,0.4525,0.49,0.4925,0.5109,0.461,1.6868,1.8075,1.52,1.56,1.845,2.9606,1.9026,,
2022,8,35,0.455,0.4525,0.535,0.49875,0.4896,0.475,1.5862,1.8075,1.5475,1.56,1.89,2.9724,1.888,,
2022,9,36,0.455,0.46,0.515,0.50375,0.5014,0.4494,1.5933,1.805,1.575,1.565,1.83,3.0249,1.876,,
2022,9,37,0.4575,0.46,0.53,0.5025,0.4895,0.476,1.5916,1.805,1.565,1.57,1.9025,3.0872,1.8432,,
2022,9,38,0.4575,0.45,0.5425,0.505,0.489,0.45,1.5887,1.805,1.595,1.58,1.815,3.1415,1.8181,,
2022,9,39,0.4575,0.4425,0.515,0.4975,0.4889,0.4445,1.5657,1.805,1.5975,1.58,1.81,3.1738,1.8951,,
2022,10,40,0.465,0.44,0.5,0.48875,0.4891,0.426,1.567,1.805,1.5775,1.555,1.775,3.1352,1.9897,,
2022,10,41,0.465,0.44,0.5,0.465,0.4892,0.424,1.5808,1.8075,1.5625,1.555,1.73875,3.1923,2.0301,,
2022,10,42,0.485,0.44,0.505,0.4675,0.4846,0.439,1.5862,1.81,1.52,1.52,1.72,3.2298,2.0306,,
2022,10,43,0.485,0.44,0.495,0.465,0.488,0.434,1.5887,1.81,1.49,1.505,1.69,3.2422,2.0515,,
2022,10,44,0.485,0.44,0.48625,0.4675,0.48,0.4505,1.5729,1.815,1.4725,1.46,1.665,3.1407,2.0693,,
2022,11,45,0.485,0.44,0.48,0.4625,0.4826,0.439,1.5471,1.8175,1.47375,1.445,1.645,3.1168,2.0688,,
2022,11,46,0.485,0.44,0.485,0.46625,0.4812,0.44,1.4967,1.8075,1.4575,1.445,1.6125,2.8963,2.0499,,
2022,11,47,0.485,0.44,0.485,0.4625,0.4678,0.44,1.4855,1.8075,1.48,1.445,1.585,2.8986,2.0613,,
2022,11,48,0.485,0.435,0.48,0.45625,0.4644,0.448,1.4933,1.7825,1.4675,1.4275,1.535,2.9182,2.1229,,
2022,12,49,0.485,0.43,0.4775,0.4525,0.4707,0.4445,1.4553,1.775,1.4575,1.42,1.4925,2.9491,2.1912,,
2022,12,50,0.475,0.415,0.4775,0.45125,0.4682,0.453,1.478,1.75,1.435,1.39,1.45,2.9543,2.1891,,
2022,12,51,0.475,0.41,0.465,0.44375,0.4625,0.3835,1.4669,1.725,1.415,1.38,1.405,2.8324,2.162,,
2022,12,52,0.475,0.405,0.44,0.43875,0.4448,0.4038,1.4381,1.7275,1.415,1.38,1.395,2.7615,2.1315,,
2021,1,1,0.405,0.45125,0.46,0.44,0.4385,0.486,1.1091,0.94,1.145,1.1525,1.035,1.5281,1.6639,,
2021,1,2,0.405,0.485,0.48,0.4425,0.4404,0.51,1.1239,0.965,1.16,1.1625,1.05,1.4895,1.6677,,
2021,1,3,0.405,0.49,0.4875,0.495,0.4577,0.5375,1.1337,0.9825,1.1875,1.195,1.08,1.4633,1.6992,,
2021,1,4,0.42,0.495,0.5,0.5,0.4726,0.5225,1.1507,0.9925,1.165,1.165,1.075,1.4149,1.7853,,
2021,2,5,0.4125,0.5025,0.5075,0.5025,0.4817,0.535,1.1445,1.0,1.165,1.1575,1.075,1.4278,1.7845,,
2021,2,6,0.4125,0.5075,0.515,0.52125,0.4955,0.54,1.1494,1.01,1.14,1.14,1.075,1.346,1.7514,,
2021,2,7,0.4125,0.52,0.515,0.50875,0.5033,0.5475,1.1281,1.02,1.135,1.13,1.08,1.3335,1.6782,,
2021,2,8,0.42,0.5225,0.54125,0.53,0.5098,0.549,1.1192,1.025,1.115,1.115,1.085,1.3609,1.6653,,
2021,3,9,0.42,0.5625,0.5475,0.53125,0.5168,0.5695,1.087,1.025,1.1275,1.1425,1.085,1.4011,1.6186,,
2021,3,10,0.425,0.565,0.5625,0.56,0.53,0.5935,1.1034,1.03,1.1575,1.15,1.09,1.5087,1.613,,
2021,3,11,0.43,0.59,0.58,0.56875,0.5467,0.6045,1.102,1.045,1.165,1.165,1.09,1.6069,1.6308,,
2021,3,12,0.44,0.6,0.595,0.5775,0.5568,0.6215,1.1321,1.07,1.175,1.165,1.09,1.6233,1.6941,,
2021,3,13,0.445,0.605,0.60375,0.595,0.5806,0.6444,1.1366,1.09,1.16375,1.165,1.09,1.5984,1.7488,,
2020,4,14,0.45,0.61,0.615,0.6175,0.5897,0.65,1.1483,1.09375,1.17,1.16625,1.095,1.6729,1.7808,,
2021,4,15,0.45,0.6225,0.63,0.615,0.6074,0.661,1.1645,1.0975,1.1925,1.195,1.1275,1.7724,1.7824,,
2021,4,16,0.45,0.6275,0.64875,0.63125,0.6093,0.668,1.1645,1.0975,1.21,1.205,1.1275,1.8374,1.7793,,
2021,4,17,0.45,0.63,0.655,0.63875,0.6231,0.663,1.1761,1.105,1.25,1.28,1.14,1.8277,1.7964,,
2021,5,18,0.45,0.65,0.65,0.64,0.6284,0.663,1.1816,1.125,1.32,1.32,1.116,1.8062,1.8207,,
2021,5,19,0.45,0.645,0.64,0.6475,0.6438,0.632,1.2181,1.1325,1.34,1.32,1.185,1.8029,1.8248,,
2021,5,20,0.45,0.64,0.6475,0.6425,0.6523,0.641,1.2322,1.1325,1.3225,1.32,1.215,1.7916,1.8257,,
2021,5,21,0.45,0.64,0.64125,0.6125,0.6556,0.6395,1.2439,1.14125,1.31,1.32,1.225,1.8203,1.8153,,
2021,5,22,0.45,0.6375,0.64125,0.61375,0.6481,0.6019,1.2595,1.14125,1.305,1.315,1.215,1.8273,1.7651,,
2021,6,23,0.45,0.62125,0.625,0.61,0.653,0.6135,1.268,1.15125,1.295,1.31,1.225,1.7926,1.7089,,
2021,6,24,0.45,0.62,0.6325,0.6325,0.6565,0.6035,1.2676,1.15125,1.305,1.31,1.225,1.8004,1.6262,,
2021,6,25,0.455,0.595,0.62,0.62,0.625,0.59,1.2751,1.15625,1.27,1.28,1.23,1.7835,1.5568,,
2021,6,26,0.455,0.595,0.6075,0.61875,0.6421,0.561,1.2682,1.15625,1.2475,1.28,1.22,1.7972,1.5349,,
2021,7,27,0.46,0.5675,0.5975,0.6175,0.6218,0.5056,1.2626,1.15625,1.245,1.25,1.215,1.7682,1.5314,,
2021,7,28,0.46,0.5475,0.5825,0.6075,0.6287,0.53,1.2557,1.15125,1.245,1.245,1.215,1.7836,1.5365,,
2021,7,29,0.46,0.535,0.585,0.6075,0.555,0.5365,1.2501,1.155,1.235,1.23875,1.215,1.7264,1.5853,,
2021,7,30,0.455,0.53,0.57875,0.54,0.5748,0.5195,1.2672,1.1575,1.23,1.23875,1.215,1.7275,1.6624,,
2021,8,31,0.455,0.50375,0.55875,0.5375,0.587,0.507,1.2375,1.1575,1.2425,1.24,1.215,1.7153,1.6604,,
2021,8,32,0.455,0.50375,0.5525,0.56,0.581,0.5275,1.2677,1.1575,1.255,1.2425,1.215,1.7068,1.6599,,
2021,8,33,0.455,0.50375,0.55375,0.56875,0.5605,0.525,1.2579,1.1575,1.2525,1.245,1.205,1.7019,1.651,,
2021,8,34,0.45,0.4975,0.5525,0.55625,0.5536,0.512,1.2768,1.1475,1.25,1.245,1.2275,1.7301,1.6956,,
2021,8,35,0.45,0.495,0.5525,0.5425,0.5513,0.49,1.2619,1.1525,1.275,1.295,1.2275,1.686,1.7471,,
