Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac
0.4775,0.41,0.435,0.4275,0.4371,0.4088,1.4326,1.7275,1.4,1.38,1.35,2.4625,2.1151,2.152761147196796,0.31325580746975645
0.4725,0.4025,0.435,0.42625,0.443,0.3575,1.4074,1.6775,1.36,1.3025,1.335,2.4936,2.1145,1.994773893309647,0.3906589915524472
0.4675,0.3725,0.415,0.425,0.4453,0.33,1.3974,1.6775,1.33,1.285,1.3,2.4732,2.1274,2.031137660054017,0.3523494289925089
0.445,0.36,0.405,0.41125,0.4259,0.3245,1.3981,1.625,1.28,1.23,1.25,2.4773,2.1269,1.859139225972853,0.2652843149884976
0.44,0.36,0.385,0.395,0.4001,0.362,1.2786,1.575,1.215,1.22,1.225,2.4085,2.0891,2.138120084117997,0.366797883559842
0.41,0.3725,0.38,0.3825,0.4137,0.425,1.3102,1.5,1.22,1.22,1.21,2.3817,2.0623,2.035415294087227,0.15432170458429062
0.405,0.3825,0.4025,0.395,0.3988,0.439,1.2415,1.4725,1.265,1.2225,1.19,2.4101,2.0042,2.2120056565169204,0.33477076719380294
0.405,0.405,0.41875,0.38875,0.3985,0.4594,1.248,1.455,1.25125,1.225,1.18,2.4369,1.9531,2.0822793425831767,0.3083563038766113
0.39,0.415,0.43,0.41625,0.4028,0.45,1.2297,1.4,1.245,1.22,1.16,2.4364,1.9285,2.0294347565285182,0.36393611601038445
0.3725,0.42,0.43,0.42625,0.4086,0.441,1.2016,1.39,1.225,1.21,1.155,2.4419,1.9424,2.0913682302773746,0.4270135908518533
0.35,0.43,0.44,0.43125,0.4246,0.451,1.2146,1.3375,1.2075,1.205,1.11,2.4364,1.9559,2.00924815746896,0.34275848581934065
0.335,0.43,0.44,0.44125,0.4195,0.445,1.2249,1.315,1.165,1.19,1.1,2.4056,1.9411,1.8702420156703867,0.2930534937704754
0.335,0.44,0.435,0.44125,0.4375,0.444,1.2204,1.3,1.155,1.165,1.1,2.4235,1.9255,1.80350613443506,0.29279565407437746
0.305,0.44,0.43,0.45125,0.4533,0.4188,1.1474,1.26,1.14,1.16,1.08,2.4238,1.9881,2.0701741053784946,0.45453631855961607
0.285,0.44,0.415,0.44625,0.4606,0.3675,1.2009,1.215,1.135,1.16,1.075,2.4226,2.023,1.8349609759392915,0.428815632654888
0.28,0.4375,0.415,0.45125,0.4481,0.3655,1.1753,1.125,1.145,1.4525,1.02,2.3891,1.9707,2.2519844232473956,0.4668500636803845
0.28,0.405,0.4125,0.44875,0.4613,0.3415,1.165,1.205,1.145,1.1525,1.02,2.3913,1.9082,1.8991797747943928,0.45795436796180455
0.27,0.3975,0.4,0.43875,0.4263,0.3305,1.1219,1.155,1.155,1.1575,0.96,2.4047,1.8571,1.9336823467273074,0.5550410528988348
